columnR1 columnR2 columnR3 columnR4 columnR5 roofControl1 roofControl2 shift kickerElev mass maxDispl elasticEnergy
0.590301 0.477779 0.123574 0.149192 0.935732 0.565802 0.363963 0.81258 0.956524 5906.210978 6.001228 0.690351
0.664435 0.329347 0.948772 0.32324 0.922892 -0.974851 0.498664 0.298691 0.98009 1813.044569 4.986004 1.23757
0.409516 0.98013 0.582541 0.547414 0.171186 0.521717 -0.252518 0.559299 0.505713 3486.436502 5.410278 0.933441
0.691941 0.497242 0.269221 0.347148 0.863412 0.407006 -0.243602 0.28124 0.152681 2580.09783 4.687419 0.721468
0.979672 0.501265 0.498819 0.324639 0.753863 -0.880741 -0.406767 0.399128 0.391791 1787.23185 6.257987 1.414861
0.30871 0.358609 0.121417 0.436567 0.28283 0.052085 0.199964 0.715267 0.605035 3885.798481 6.033718 0.624634
0.835212 0.376735 0.856858 0.182889 0.174122 -0.736349 -0.408581 0.470492 0.107462 3894.543286 6.190302 1.018483
0.133476 0.377436 0.521228 0.608732 0.626018 -0.086954 0.176116 1.411704 0.879533 8286.271905 3.599987 0.451969
0.329088 0.503568 0.46829 0.22263 0.842778 -0.063484 0.497873 0.549571 0.727909 3468.49595 5.283963 0.787865
0.715733 0.217641 0.405467 0.273029 0.245854 -0.642544 -0.177617 0.125239 0.545309 2252.141347 5.276263 1.511859
0.876297 0.760741 0.566633 0.197084 0.493872 -0.254567 -0.431857 1.41224 0.931237 5175.395172 7.67709 1.295896
0.830001 0.884802 0.331507 0.898145 0.18733 0.218405 0.107634 0.789633 0.769079 4605.272344 5.684671 0.588189
0.192292 0.309509 0.643694 0.275006 0.698931 -0.439448 0.32444 0.747483 0.150932 3089.704291 7.714511 1.263978
0.776747 0.172016 0.357618 0.764461 0.393427 -0.637421 0.05891 1.099449 0.819089 3139.402281 8.643228 1.541714
0.814588 0.605901 0.572492 0.10774 0.997638 -0.469956 0.045595 1.084477 0.166021 5501.371203 6.529487 1.012271
0.908148 0.269405 0.135064 0.120185 0.412936 -0.650571 0.362436 0.804296 0.879491 4987.197141 6.956793 1.008834
0.63758 0.642542 0.151966 0.54234 0.635311 0.98118 -0.077055 1.009487 0.506255 3128.413675 6.60405 1.125482
0.260442 0.448088 0.95803 0.204777 0.55159 -0.965785 -0.115293 1.408002 0.934262 4671.833486 7.244896 1.443059
0.692485 0.493993 0.427899 0.566513 0.81159 -0.300248 0.249465 0.849992 0.476004 3503.838131 6.074021 0.952261
0.281436 0.967475 0.743254 0.223205 0.371923 -0.132032 -0.006066 1.240451 0.632373 4563.100354 10.042899 1.24212
0.452543 0.814735 0.521516 0.37429 0.890447 0.538123 -0.043519 0.996231 0.473201 3507.148054 6.730472 0.931947
0.347226 0.256024 0.880085 0.200702 0.916377 0.221438 0.336728 0.154927 0.341184 2093.816987 4.65085 0.580142
0.618026 0.516977 0.258065 0.487026 0.973921 0.258783 0.183834 0.346714 0.171652 2101.104612 5.288566 0.534987
0.833103 0.20755 0.735642 0.40212 0.498662 -0.448212 -0.12989 1.2994 0.828442 4905.303441 8.43643 1.39328
0.764239 0.742538 0.960594 0.43722 0.874661 0.172496 -0.445938 0.232573 0.781091 3862.380293 3.998874 0.639952
0.673117 0.568009 0.821053 0.738091 0.552112 0.387814 0.485749 0.996836 0.454919 3962.496842 5.992401 0.848197
0.437176 0.29566 0.455134 0.685138 0.298152 -0.931764 -0.084098 1.224922 0.028345 2812.553448 7.802156 1.501796
0.959041 0.367356 0.631009 0.423641 0.615395 -0.628568 0.357727 0.962861 0.606814 3133.738357 6.097429 1.232932
0.378257 0.183306 0.374854 0.536864 0.711632 0.830253 -0.21145 0.680548 0.914191 2784.094417 7.187976 1.066052
0.549721 0.326605 0.369172 0.754232 0.597653 0.527673 -0.42211 0.596001 0.940947 2868.649003 5.679808 0.947161
0.937151 0.262822 0.116766 0.819855 0.518375 0.111805 0.160496 0.385062 0.516882 2294.6171 6.940599 0.59488
0.872986 0.594063 0.100837 0.987474 0.634395 0.645749 0.342502 1.169139 0.141761 11915.722777 3.370761 0.402045
0.646771 0.901039 0.443753 0.795121 0.343585 -0.29941 -0.242904 0.17851 0.140646 2613.675472 5.301531 1.099362
0.975809 0.477933 0.338916 0.952474 0.477463 0.046728 0.485551 1.038054 0.821032 6084.247709 4.201951 0.614899
0.873694 0.839083 0.566092 0.822375 0.362586 -0.68704 0.095863 0.844207 0.644313 3155.170529 4.996531 1.115447
0.329007 0.135604 0.565652 0.207367 0.852661 0.94891 0.276256 0.115765 0.100748 1915.241572 5.606567 0.979522
0.932698 0.941169 0.684353 0.436434 0.506845 -0.941443 0.256092 1.339402 0.710731 2956.704712 6.008139 1.316375
0.304233 0.527464 0.551034 0.502078 0.114072 0.010616 0.071366 1.0059 0.265139 4416.818682 6.163351 0.687358
0.288899 0.673052 0.568044 0.252434 0.875672 -0.325535 0.251365 0.547167 0.107598 3439.345288 5.842603 0.954712
0.424682 0.494965 0.384922 0.642544 0.288622 0.125182 -0.219973 0.775848 0.48053 4057.54283 7.119779 0.80143
0.288749 0.998818 0.775 0.790136 0.250625 0.646269 0.443928 0.385436 0.588869 2634.618494 6.169514 1.118074
0.629825 0.26051 0.163059 0.185755 0.758092 0.126309 -0.225321 0.343555 0.1274 3064.395296 5.685034 0.564844
0.348455 0.473102 0.106474 0.612465 0.886695 -0.335007 0.418208 0.383508 0.762643 3425.033864 4.844451 0.879363
0.302315 0.55313 0.343091 0.758826 0.474255 0.079172 0.291233 1.093694 0.748946 4517.016006 5.261804 0.64653
0.71245 0.26216 0.484984 0.393042 0.370199 -0.303207 -0.000052 1.307329 0.794023 4955.804898 8.331433 1.188744
0.814706 0.18369 0.456639 0.741088 0.775072 -0.488186 -0.064891 1.357702 0.766226 4617.40023 8.275469 1.360047
0.777509 0.995234 0.733909 0.607509 0.99481 0.507079 0.208946 0.195618 0.039411 2196.386757 4.304504 0.693321
0.494484 0.73261 0.881848 0.277838 0.5189 -0.959938 0.311735 0.246176 0.966051 1777.380391 3.934388 1.137912
0.128744 0.821617 0.893128 0.844266 0.344569 -0.56859 -0.355879 0.45848 0.834881 4658.621529 4.946615 0.838038
0.986024 0.448809 0.788133 0.8272 0.55224 -0.194744 -0.327277 1.023012 0.837308 4706.403252 5.521058 0.793823
0.464987 0.900814 0.836855 0.879171 0.930553 -0.963108 -0.259817 0.568025 0.479065 1835.689979 5.283028 1.190432
0.940436 0.680056 0.209219 0.798018 0.932248 0.983696 -0.265993 1.403314 0.352099 4115.330577 5.875902 1.033641
0.677879 0.803095 0.73194 0.372681 0.153954 -0.448033 0.09167 0.42429 0.86425 3141.226691 5.670836 1.250997
0.222582 0.979207 0.244974 0.469468 0.458958 -0.793398 0.18421 1.167701 0.449672 6543.76094 3.977127 0.682976
0.647149 0.233346 0.236935 0.812092 0.476342 0.451858 0.169218 0.44915 0.757432 2810.033048 6.450036 0.799512
0.290765 0.109924 0.40786 0.641095 0.623677 -0.228896 0.392176 0.203094 0.11452 3381.985572 4.668491 0.843621
0.64494 0.36655 0.43888 0.940587 0.483614 -0.763611 -0.486946 1.337595 0.301708 4032.266119 7.026435 1.344051
0.257705 0.183005 0.513472 0.283948 0.621523 -0.734104 -0.27833 1.220105 0.814724 5352.722024 6.40511 1.073449
0.503434 0.371833 0.213154 0.579467 0.66808 0.567879 0.29107 0.347638 0.431483 2290.149298 6.129979 0.928323
0.684664 0.869454 0.289042 0.525656 0.19114 0.750753 -0.427475 0.972275 0.615473 3813.964025 5.387233 1.015032
0.489225 0.969598 0.78756 0.426007 0.266752 -0.395174 -0.219661 0.553477 0.020702 3739.466215 6.728674 1.210392
0.973353 0.842913 0.601116 0.564607 0.365639 0.076147 -0.368619 0.368676 0.450831 3556.437872 5.327987 0.788523
0.723947 0.288343 0.514272 0.674565 0.495033 0.23895 0.331167 0.294905 0.38643 2300.112127 5.795845 0.785806
0.40292 0.366355 0.341819 0.574959 0.676288 0.59386 0.460665 0.086669 0.774067 1910.084858 4.642338 0.993741
0.985721 0.628387 0.705831 0.784817 0.378889 -0.868124 -0.28534 0.611855 0.968663 2189.080278 5.409039 1.266056
0.562537 0.948875 0.688973 0.250255 0.994292 0.802439 -0.160672 1.375539 0.246747 4802.083332 7.103179 1.184723
0.527 0.342645 0.143747 0.56136 0.950895 0.630695 -0.000993 0.19808 0.037445 2313.105095 5.211178 0.78859
0.194446 0.572093 0.85405 0.974613 0.414437 -0.076584 0.408819 0.651288 0.463862 4940.671698 4.662012 0.695173
0.138135 0.484275 0.458261 0.613439 0.302726 -0.934407 -0.377101 1.060779 0.498819 7507.567571 3.179395 0.51596
0.330698 0.199839 0.401643 0.419183 0.275273 -0.324886 0.267291 1.431351 0.370338 4744.52357 9.547398 1.574344
0.454828 0.273423 0.9295 0.963248 0.681109 -0.191053 -0.030149 0.866041 0.167552 3170.262883 8.519837 0.931463
0.868906 0.39147 0.831818 0.405345 0.512025 0.055773 0.308511 0.664971 0.4145 3723.810788 4.782297 0.597472
0.264817 0.890254 0.3273 0.966394 0.12929 0.091432 0.076126 0.73493 0.380309 4145.785027 5.362077 0.515523
0.572186 0.792354 0.690355 0.934307 0.579776 0.10628 0.184122 0.557636 0.724983 2624.665228 4.103383 0.446413
0.639686 0.929039 0.106787 0.710446 0.917849 0.659354 -0.481909 1.349278 0.548843 3664.194266 7.557898 1.320117
0.255288 0.722098 0.830158 0.747906 0.682798 0.846017 0.479985 0.583519 0.013078 2407.978275 6.222164 1.031082
0.939756 0.582478 0.762566 0.934987 0.997134 -0.191179 0.356834 1.369723 0.001459 5650.039001 5.257047 0.764909
0.1642 0.653745 0.532102 0.424164 0.562677 0.172827 0.041864 1.281273 0.755459 7344.267279 4.091265 0.487814
0.518792 0.641433 0.51539 0.669098 0.341224 0.052267 0.039779 1.362904 0.971045 4972.522367 5.149992 0.651273
0.641224 0.159167 0.538363 0.108672 0.881206 0.264205 -0.45467 1.053863 0.116726 6045.692795 6.797499 0.872058
